,name,player_id
76,Daniel Taylor,8471433
77,Daniil Tarasov,8480193
78,Dany Sabourin,8467430
79,Darcy Kuemper,8475311
80,David Leneveu,8470263
81,David Rittich,8479496
82,Devan Dubnyk,8471227
83,Devin Cooley,8482445
84,Devon Levi,8482221
85,Drew MacIntyre,8469569
86,Dustin Tokarski,8474682
87,Dustin Wolf,8481692
88,Dwayne Roloson,8460806
89,Dylan Ferguson,8480263
90,Dylan Wells,8479380
91,Eddie Lack,8475663
92,Edward Pasquale,8475277
93,Eetu Makiniemi,8480199
94,Elvis Merzlikins,8478007
95,Eric Comrie,8477480
96,Erik Ersberg,8473975
97,Erik Kallgren,8478902
98,Evgeni Nabokov,8460705
99,Felix Sandstrom,8478433
100,Filip Gustavsson,8479406
101,Frederik Andersen,8475883
102,Fredrik Norrena,8470090
103,Garret Sparks,8476343
104,Georgi Romanov,8484312
105,Gilles Senn,8480213
106,Harri Sateri,8474667
107,Henrik Karlsson,8475431
108,Henrik Lundqvist,8468685
109,Hugo Alnefelt,8481597
110,Hunter Miska,8480112
111,Hunter Shepard,8482411
112,Igor Shesterkin,8478048
113,Iiro Tarkki,8476243
114,Ilya Bryzgalov,8468524
115,Ilya Samsonov,8478492
116,Ilya Sorokin,8478009
117,Ivan Fedotov,8478905
118,Ivan Prosvetov,8481031
119,J-F Berube,8475234
120,J.F. Berube,8475234
121,Jack Campbell,8475789
122,Jack LaFontaine,8479581
123,Jacob Markstrom,8474593
124,Jake Allen,8474596
125,Jake Oettinger,8479979
126,James Reimer,8473503
127,Jared Coreau,8477225
128,Jaroslav Halak,8470860
129,Jason Kasdorf,8476309
130,Jason LaBarbera,8467391
131,Jaxson Stauber,8483530
132,Jean-Sebastien Giguere,8462044
133,Jeff Deslauriers,8470074
134,Jeff Frazee,8471712
135,Jeff Glass,8471301
136,Jeff Zatkoff,8473553
137,Jeremy Duchesne,8471781
138,Jeremy Smith,8474092
139,Jeremy Swayman,8480280
140,Jesper Wallstedt,8482661
141,Jet Greaves,8482982
142,Jett Alexander,8483183
143,Jhonas Enroth,8473523
144,Jimmy Howard,8470657
145,Jiri Patera,8480238
146,Joacim Eriksson,8474754
147,Joel Hofer,8480981
148,Joey Daccord,8478916
149,Joey MacDonald,8469732
150,Johan Backlund,8475080
151,Johan Hedberg,8460704
152,John Curry,8474202
153,John Gibson,8476434
154,Jon Gillies,8476903
155,Jonas Gustavsson,8475361
156,Jonas Hiller,8473972
157,Jonas Johansson,8477992
158,Jonathan Bernier,8473541
159,Jonathan Quick,8471734
160,Joni Ortio,8475299
161,Joonas Korpisalo,8476914
162,Jordan Binnington,8476412
163,Jorge Alves,8479115
164,Jose Theodore,8460535
165,Josef Korenar,8480373
166,Joseph Woll,8479361
167,Josh Harding,8470216
168,Josh Tordjman,8473632
169,Jussi Rynnas,8475680
170,Justin Peters,8471251
171,Justin Pogge,8471302
172,Justus Annunen,8481020
173,Juuse Saros,8477424
174,Kaapo Kahkonen,8478039
175,Kaden Fulcher,8480363
176,Karel Vejmelka,8478872
177,Kari Lehtonen,8470140
178,Karri Ramo,8471403
179,Kasimir Kaskisuo,8479288
180,Keith Kinkaid,8476234
181,Ken Appleby,8478965
182,Kenneth Appleby,8478965
183,Kent Simpson,8475720
184,Kevin Boyle,8479294
185,Kevin Lankinen,8480947
186,Kevin Mandolese,8480867
187,Kevin Poulin,8474690
188,Kevin Weekes,8459463
189,Kristers Gudlevskis,8477356
190,Landon Bow,8479016
191,Laurent Brossoit,8476316
192,Leevi Merilainen,8482447
193,Leland Irving,8473414
194,Linus Ullmark,8476999
195,Logan Thompson,8480313
196,Louis Domingue,8475839
197,Lukas Dostal,8480843
198,Mackenzie Blackwood,8478406
199,Mackenzie Skapski,8477084
200,Mads Sogaard,8481544
201,Magnus Chrona,8480992
202,Magnus Hellberg,8476433
203,Malcolm Subban,8476876
204,Manny Fernandez,8458988
205,Manny Legace,8459308
206,Marc Denis,8462055
207,Marc-Andre Fleury,8470594
208,Marcus Hogberg,8477405
209,Marek Langhamer,8476986
210,Marek Mazanec,8476992
211,Marek Schwarz,8471230
212,Mark Dekanich,8473532
213,Mark Visentin,8475771
214,Martin Biron,8462047
215,Martin Brodeur,8455710
216,Martin Gerber,8469675
217,Martin Jones,8474889
218,Marty Turco,8460612
219,Mathieu Garon,8464999
220,Matiss Kivlenieks,8480162
221,Matt Climie,8474488
222,Matt Hackett,8475252
223,Matt Murray,8476899
224,Matt Tomkins,8477035
225,Matt Villalta,8480191
226,Matt Zaba,8470820
227,Matthew Berlin,8483158
228,Matthew O'Connor,8478559
229,Maxime Lagace,8476509
230,Michael DiPietro,8480022
231,Michael Dipietro,8480022
232,Michael Houser,8475920
233,Michael Hutchinson,8474636
234,Michael Leighton,8468038
235,Michael McNiven,8478933
236,Michal Neuvirth,8473607
237,Miikka Kiprusoff,8462147
238,Mikael Tellqvist,8468550
239,Mike Brodeur,8470800
240,Mike Condon,8477237
241,Mike McKenna,8470093
242,Mike Murphy,8474729
243,Mike Smith,8469608
244,Mikko Koskinen,8475156
245,Nathan Lawson,8474855
246,Nathan Lieuwen,8476319
247,Nico Daws,8482076
248,Niklas Backstrom,8473404
249,Niklas Svedberg,8476844
250,Niklas Treutle,8478999
251,Nikolai Khabibulin,8459140
252,Olie Kolzig,8448535
253,Olle Eriksson Ek,8480042
254,Ondrej Pavelec,8471715
255,Oscar Dansk,8476861
256,Pascal Leclaire,8469461
257,Patrick Lalime,8459579
258,Pavel Francouz,8480925
259,Pekka Rinne,8471469
260,Peter Budaj,8469514
261,Peter Mannino,8474771
262,Petr Mrazek,8475852
263,Pheonix Copley,8477831
264,Philipp Grubauer,8475831
265,Pyotr Kochetkov,8481611
266,Ray Emery,8469548
267,Reto Berra,8473499
268,Richard Bachman,8473614
269,Rick DiPietro,8468481
270,Riku Helenius,8473474
271,Rob Zepp,8467972
272,Roberto Luongo,8466141
273,Robin Lehner,8475215
274,Roman Will,8477914
275,Ryan Miller,8468011
276,Sam Montembeault,8478470
277,Sami Aittokallio,8475824
278,Samuel Ersson,8481035
279,Scott Clemmensen,8466339
280,Scott Darling,8474152
281,Scott Foster,8479138
282,Scott Wedgewood,8475809
283,Sebastien Caron,8467959
284,Semyon Varlamov,8473575
285,Sergei Bobrovsky,8475683
286,Shawn Hunwick,8476803
287,Spencer Knight,8481519
288,Spencer Martin,8477484
289,Steve Mason,8473461
290,Steve Valiquette,8465161
291,Stuart Skinner,8479973
292,Thatcher Demko,8477967
293,Thomas Greiss,8471306
294,Thomas Hodges,8480591
295,Tim Thomas,8460703
296,Timo Pielmeier,8474194
297,Tobias Stephan,8470266
298,Tom McCollum,8474591
299,Tomas Vokoun,8460712
300,Tristan Jarry,8477465
301,Troy Grosenick,8477234
302,Tuukka Rask,8471695
303,Ty Conklin,8469152
304,Tyler Bunz,8475781
305,Ukko-Pekka Luukkonen,8480045
306,Veini Vehvilainen,8481001
307,Vesa Toskala,8462117
308,Viktor Fasth,8476839
309,Ville Husso,8478024
310,Vitek Vanecek,8477970
311,Wade Dubielewicz,8470584
312,Yaniv Perets,8484293
313,Yann Danis,8471186
314,Yaroslav Askarov,8482137
315,Zach Fucale,8477457
316,Zach Sawchenko,8479313
317,Zane McIntyre,8475876
